File '/Users/premalmistry/Desktop/Projects/beyond-code-coverage-ai-vs-human-tests/swift-collections/Sources/BasicContainers/RigidArray/RigidArray+Append.swift':
Name                                                                                                                                          Regions    Miss   Cover     Lines    Miss   Cover  Branches    Miss   Cover
$s15BasicContainers10RigidArrayVAARi_zrlE6append6movingys10OutputSpanVyxGz_tFSbyXEfu_                                                               1       0 100.00%         1       0 100.00%         0       0   0.00%
$s15BasicContainers10RigidArrayVAARi_zrlE6append6movingys10OutputSpanVyxGz_tFSSyXEfu0_                                                              1       1   0.00%         1       1   0.00%         0       0   0.00%
$s15BasicContainers10RigidArrayVAARi_zrlE6append6movingys10OutputSpanVyxGz_tFySryxG_SiztXEfU_                                                       1       0 100.00%         5       0 100.00%         0       0   0.00%
$s15BasicContainers10RigidArrayVAARi_zrlE6append6movingyACyxGz_tF                                                                                   1       1   0.00%         5       5   0.00%         0       0   0.00%
$s15BasicContainers10RigidArrayVAARi_zrlE6append6movingyACyxGz_tFys10OutputSpanVyxGzXEfU_                                                           1       1   0.00%         3       3   0.00%         0       0   0.00%
$s15BasicContainers10RigidArrayV16_appendUnchecked7copyingySRyxG_tF                                                                                 3       0 100.00%         6       0 100.00%         0       0   0.00%
$s15BasicContainers10RigidArrayV6append7copyingySRyxG_tF                                                                                            1       0 100.00%         6       0 100.00%         0       0   0.00%
$s15BasicContainers10RigidArrayV6append7copyingySRyxG_tFSbyXEfu_                                                                                    1       0 100.00%         1       0 100.00%         0       0   0.00%
$s15BasicContainers10RigidArrayV6append7copyingySRyxG_tFSSyXEfu0_                                                                                   1       1   0.00%         1       1   0.00%         0       0   0.00%
$s15BasicContainers10RigidArrayV6append7copyingySryxG_tF                                                                                            1       1   0.00%         3       3   0.00%         0       0   0.00%
$s15BasicContainers10RigidArrayV6append7copyingys4SpanVyxG_tF                                                                                       1       0 100.00%         6       0 100.00%         0       0   0.00%
$s15BasicContainers10RigidArrayV6append7copyingys4SpanVyxG_tFSbyXEfu_                                                                               1       0 100.00%         1       0 100.00%         0       0   0.00%
$s15BasicContainers10RigidArrayV6append7copyingys4SpanVyxG_tFSSyXEfu0_                                                                              1       1   0.00%         1       1   0.00%         0       0   0.00%
$s15BasicContainers10RigidArrayV6append7copyingys4SpanVyxG_tFySRyxGXEfU_                                                                            1       0 100.00%         3       0 100.00%         0       0   0.00%
$s15BasicContainers10RigidArrayV7_append8prefixOf8IteratorQyd__qd___t7ElementQyd__RszSTRd__lF                                                       1       0 100.00%         5       0 100.00%         0       0   0.00%
$s15BasicContainers10RigidArrayV6append7copyingyqd___t7ElementQyd__RszSTRd__lF                                                                      4       0 100.00%        10       0 100.00%         0       0   0.00%
$s15BasicContainers10RigidArrayV6append7copyingyqd___t7ElementQyd__RszSTRd__lFySRyxGXEfU_                                                           1       0 100.00%         4       0 100.00%         0       0   0.00%
$s15BasicContainers10RigidArrayV6append7copyingyqd___t7ElementQyd__RszSTRd__lFSbyXEfu_                                                              1       0 100.00%         1       0 100.00%         0       0   0.00%
$s15BasicContainers10RigidArrayV6append7copyingyqd___t7ElementQyd__RszSTRd__lFSSyXEfu0_                                                             1       1   0.00%         1       1   0.00%         0       0   0.00%
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                                                                                                                              45      11  75.56%       116      19  83.62%         0       0   0.00%
